,open_price,high_price,low_price,close_price,date_price,volume
20,0.515104,0.515104,0.513495,0.514626,2023-04-03 02:00:00,1723633466.7287183
20,0.515104,0.515104,0.513495,0.514626,2023-04-03 02:00:00,1726436421.8425524
20,0.515104,0.515104,0.513495,0.514626,2023-04-03 02:00:00,1703854896.9985793
20,0.515104,0.515104,0.513495,0.514626,2023-04-03 02:00:00,1712104484.9560926
21,0.515173,0.517787,0.515173,0.517787,2023-04-03 02:30:00,1742210171.5399127
21,0.515173,0.517787,0.515173,0.517787,2023-04-03 02:30:00,1743608069.6507015
21,0.515173,0.517787,0.515173,0.517787,2023-04-03 02:30:00,1743677042.354809
21,0.515173,0.517787,0.515173,0.517787,2023-04-03 02:30:00,1746678434.4043622
21,0.515173,0.517787,0.515173,0.517787,2023-04-03 02:30:00,1748507879.0209606
21,0.515173,0.517787,0.515173,0.517787,2023-04-03 02:30:00,1750195837.4102547
22,0.518683,0.519194,0.517231,0.518055,2023-04-03 03:00:00,1753526507.367855
22,0.518683,0.519194,0.517231,0.518055,2023-04-03 03:00:00,1757992931.6899297
22,0.518683,0.519194,0.517231,0.518055,2023-04-03 03:00:00,1762338823.4666955
22,0.518683,0.519194,0.517231,0.518055,2023-04-03 03:00:00,1762394186.2024767
22,0.518683,0.519194,0.517231,0.518055,2023-04-03 03:00:00,1766109308.89498
22,0.518683,0.519194,0.517231,0.518055,2023-04-03 03:00:00,1768159291.530475
23,0.517636,0.517636,0.51653,0.51653,2023-04-03 03:30:00,1773711305.64634
23,0.517636,0.517636,0.51653,0.51653,2023-04-03 03:30:00,1776233132.0156612
23,0.517636,0.517636,0.51653,0.51653,2023-04-03 03:30:00,1776728699.17438
23,0.517636,0.517636,0.51653,0.51653,2023-04-03 03:30:00,1777046006.7589254
23,0.517636,0.517636,0.51653,0.51653,2023-04-03 03:30:00,1780201464.688526
23,0.517636,0.517636,0.51653,0.51653,2023-04-03 03:30:00,1779920553.1354
24,0.515937,0.515937,0.514936,0.514936,2023-04-03 04:00:00,1782489008.5568125
24,0.515937,0.515937,0.514936,0.514936,2023-04-03 04:00:00,1782131025.3971908
24,0.515937,0.515937,0.514936,0.514936,2023-04-03 04:00:00,1783605509.2490702
24,0.515937,0.515937,0.514936,0.514936,2023-04-03 04:00:00,1785681244.6023238
24,0.515937,0.515937,0.514936,0.514936,2023-04-03 04:00:00,1786570278.499552
24,0.515937,0.515937,0.514936,0.514936,2023-04-03 04:00:00,1791736286.704449
25,0.515231,0.515358,0.514074,0.514787,2023-04-03 04:30:00,1798486253.962373
25,0.515231,0.515358,0.514074,0.514787,2023-04-03 04:30:00,1805812979.7581594
25,0.515231,0.515358,0.514074,0.514787,2023-04-03 04:30:00,1808952375.404248
25,0.515231,0.515358,0.514074,0.514787,2023-04-03 04:30:00,1811918274.9043913
25,0.515231,0.515358,0.514074,0.514787,2023-04-03 04:30:00,1814042132.8901422
25,0.515231,0.515358,0.514074,0.514787,2023-04-03 04:30:00,1812184492.2150977
26,0.515134,0.516992,0.515134,0.516702,2023-04-03 05:00:00,1809843243.359088
26,0.515134,0.516992,0.515134,0.516702,2023-04-03 05:00:00,1812012549.1148643
26,0.515134,0.516992,0.515134,0.516702,2023-04-03 05:00:00,1811907933.9578872
26,0.515134,0.516992,0.515134,0.516702,2023-04-03 05:00:00,1810801487.2982702
26,0.515134,0.516992,0.515134,0.516702,2023-04-03 05:00:00,1813544626.0205393
26,0.515134,0.516992,0.515134,0.516702,2023-04-03 05:00:00,1817605819.2358632
27,0.516019,0.516019,0.51432,0.515936,2023-04-03 05:30:00,1814356266.7049537
27,0.516019,0.516019,0.51432,0.515936,2023-04-03 05:30:00,1812216549.137742
27,0.516019,0.516019,0.51432,0.515936,2023-04-03 05:30:00,1815016880.0196874
27,0.516019,0.516019,0.51432,0.515936,2023-04-03 05:30:00,1817003904.3280585
27,0.516019,0.516019,0.51432,0.515936,2023-04-03 05:30:00,1815784662.305213
27,0.516019,0.516019,0.51432,0.515936,2023-04-03 05:30:00,1816502563.3545713
28,0.515155,0.516121,0.514474,0.516121,2023-04-03 06:00:00,1814643122.335238
28,0.515155,0.516121,0.514474,0.516121,2023-04-03 06:00:00,1812258881.4747968
28,0.515155,0.516121,0.514474,0.516121,2023-04-03 06:00:00,1813950335.8153741
28,0.515155,0.516121,0.514474,0.516121,2023-04-03 06:00:00,1814857705.1196136
28,0.515155,0.516121,0.514474,0.516121,2023-04-03 06:00:00,1809800398.675839
28,0.515155,0.516121,0.514474,0.516121,2023-04-03 06:00:00,1804261871.162255
29,0.515727,0.516313,0.515067,0.515638,2023-04-03 06:30:00,1793941891.3106833
29,0.515727,0.516313,0.515067,0.515638,2023-04-03 06:30:00,1792723800.8111355
29,0.515727,0.516313,0.515067,0.515638,2023-04-03 06:30:00,1792609477.7190816
29,0.515727,0.516313,0.515067,0.515638,2023-04-03 06:30:00,1791041477.4948542
29,0.515727,0.516313,0.515067,0.515638,2023-04-03 06:30:00,1791530798.0555835
29,0.515727,0.516313,0.515067,0.515638,2023-04-03 06:30:00,1805715412.3635821
30,0.51467,0.51467,0.511836,0.513992,2023-04-03 07:00:00,1808043969.6871564
30,0.51467,0.51467,0.511836,0.513992,2023-04-03 07:00:00,1803996322.7867882
30,0.51467,0.51467,0.511836,0.513992,2023-04-03 07:00:00,1806094566.3152366
30,0.51467,0.51467,0.511836,0.513992,2023-04-03 07:00:00,1805976164.5852103
30,0.51467,0.51467,0.511836,0.513992,2023-04-03 07:00:00,1798707406.8466017
30,0.51467,0.51467,0.511836,0.513992,2023-04-03 07:00:00,1776044309.3230293
31,0.513418,0.514348,0.513124,0.513671,2023-04-03 07:30:00,1751597768.2015784
31,0.513418,0.514348,0.513124,0.513671,2023-04-03 07:30:00,1737058843.4239633
31,0.513418,0.514348,0.513124,0.513671,2023-04-03 07:30:00,1726464231.6756585
31,0.513418,0.514348,0.513124,0.513671,2023-04-03 07:30:00,1709421990.901324
31,0.513418,0.514348,0.513124,0.513671,2023-04-03 07:30:00,1691062140.9790196
31,0.513418,0.514348,0.513124,0.513671,2023-04-03 07:30:00,1687141482.0473578
32,0.515036,0.515825,0.513815,0.515586,2023-04-03 08:00:00,1679865752.1620212
32,0.515036,0.515825,0.513815,0.515586,2023-04-03 08:00:00,1673651354.3957183
32,0.515036,0.515825,0.513815,0.515586,2023-04-03 08:00:00,1664778330.6498566
32,0.515036,0.515825,0.513815,0.515586,2023-04-03 08:00:00,1656144032.8147013
32,0.515036,0.515825,0.513815,0.515586,2023-04-03 08:00:00,1647641354.7472415
32,0.515036,0.515825,0.513815,0.515586,2023-04-03 08:00:00,1636924694.0559855
33,0.514426,0.514859,0.513417,0.513717,2023-04-03 08:30:00,1632217536.3890898
33,0.514426,0.514859,0.513417,0.513717,2023-04-03 08:30:00,1627770198.8063314
33,0.514426,0.514859,0.513417,0.513717,2023-04-03 08:30:00,1625874586.5863986
33,0.514426,0.514859,0.513417,0.513717,2023-04-03 08:30:00,1624529817.6052089
33,0.514426,0.514859,0.513417,0.513717,2023-04-03 08:30:00,1626458704.1094973
33,0.514426,0.514859,0.513417,0.513717,2023-04-03 08:30:00,1630446573.3929014
34,0.513765,0.513765,0.509739,0.509973,2023-04-03 09:00:00,1626201032.594092
34,0.513765,0.513765,0.509739,0.509973,2023-04-03 09:00:00,1624664697.4720654
34,0.513765,0.513765,0.509739,0.509973,2023-04-03 09:00:00,1612950461.5863564
34,0.513765,0.513765,0.509739,0.509973,2023-04-03 09:00:00,1610309961.9640913
34,0.513765,0.513765,0.509739,0.509973,2023-04-03 09:00:00,1605600252.2484047
34,0.513765,0.513765,0.509739,0.509973,2023-04-03 09:00:00,1598022897.4435809
35,0.509283,0.510933,0.509238,0.510933,2023-04-03 09:30:00,1594535850.5759563
35,0.509283,0.510933,0.509238,0.510933,2023-04-03 09:30:00,1588945043.322856
35,0.509283,0.510933,0.509238,0.510933,2023-04-03 09:30:00,1585060294.352914
35,0.509283,0.510933,0.509238,0.510933,2023-04-03 09:30:00,1574369412.439908
35,0.509283,0.510933,0.509238,0.510933,2023-04-03 09:30:00,1573079121.9542825
35,0.509283,0.510933,0.509238,0.510933,2023-04-03 09:30:00,1569774448.2187161
36,0.510722,0.510722,0.509282,0.509654,2023-04-03 10:00:00,1571407024.912737
36,0.510722,0.510722,0.509282,0.509654,2023-04-03 10:00:00,1565470296.9193153
36,0.510722,0.510722,0.509282,0.509654,2023-04-03 10:00:00,1564278354.270466
36,0.510722,0.510722,0.509282,0.509654,2023-04-03 10:00:00,1564758418.7143776
36,0.510722,0.510722,0.509282,0.509654,2023-04-03 10:00:00,1564512143.4514456
36,0.510722,0.510722,0.509282,0.509654,2023-04-03 10:00:00,1558989390.6735666
37,0.510775,0.510775,0.509884,0.509884,2023-04-03 10:30:00,1552337880.342808
37,0.510775,0.510775,0.509884,0.509884,2023-04-03 10:30:00,1546465092.3900354
37,0.510775,0.510775,0.509884,0.509884,2023-04-03 10:30:00,1545722445.3025563
37,0.510775,0.510775,0.509884,0.509884,2023-04-03 10:30:00,1543628621.1175082
37,0.510775,0.510775,0.509884,0.509884,2023-04-03 10:30:00,1538580559.2809708
37,0.510775,0.510775,0.509884,0.509884,2023-04-03 10:30:00,1537502359.5030713
38,0.508865,0.509427,0.508526,0.509355,2023-04-03 11:00:00,1533346983.8262074
38,0.508865,0.509427,0.508526,0.509355,2023-04-03 11:00:00,1529858367.1188605
38,0.508865,0.509427,0.508526,0.509355,2023-04-03 11:00:00,1532916559.8843145
38,0.508865,0.509427,0.508526,0.509355,2023-04-03 11:00:00,1531722640.6252437
38,0.508865,0.509427,0.508526,0.509355,2023-04-03 11:00:00,1528768500.6862972
38,0.508865,0.509427,0.508526,0.509355,2023-04-03 11:00:00,1523927647.5668185
39,0.508762,0.508762,0.506993,0.507563,2023-04-03 11:30:00,1518127172.3874848
39,0.508762,0.508762,0.506993,0.507563,2023-04-03 11:30:00,1515160021.303973
39,0.508762,0.508762,0.506993,0.507563,2023-04-03 11:30:00,1518490321.9366672
39,0.508762,0.508762,0.506993,0.507563,2023-04-03 11:30:00,1522523301.0402265
39,0.508762,0.508762,0.506993,0.507563,2023-04-03 11:30:00,1522902390.5979276
39,0.508762,0.508762,0.506993,0.507563,2023-04-03 11:30:00,1527524731.2937417
40,0.507745,0.508863,0.50719,0.508825,2023-04-03 12:00:00,1530642816.1149123
40,0.507745,0.508863,0.50719,0.508825,2023-04-03 12:00:00,1533035099.5164375
40,0.507745,0.508863,0.50719,0.508825,2023-04-03 12:00:00,1538234895.6014483
40,0.507745,0.508863,0.50719,0.508825,2023-04-03 12:00:00,1541897302.7765625
40,0.507745,0.508863,0.50719,0.508825,2023-04-03 12:00:00,1543507404.6771064
40,0.507745,0.508863,0.50719,0.508825,2023-04-03 12:00:00,1550541906.972389
41,0.508982,0.508982,0.506985,0.507766,2023-04-03 12:30:00,1555310847.8550327
41,0.508982,0.508982,0.506985,0.507766,2023-04-03 12:30:00,1561266667.1693897
41,0.508982,0.508982,0.506985,0.507766,2023-04-03 12:30:00,1565003506.173816
41,0.508982,0.508982,0.506985,0.507766,2023-04-03 12:30:00,1555792470.1601267
41,0.508982,0.508982,0.506985,0.507766,2023-04-03 12:30:00,1584455695.977049
41,0.508982,0.508982,0.506985,0.507766,2023-04-03 12:30:00,1586258653.555039
42,0.509378,0.513934,0.509378,0.513061,2023-04-03 13:00:00,1593304595.8961215
42,0.509378,0.513934,0.509378,0.513061,2023-04-03 13:00:00,1592399143.3370016
42,0.509378,0.513934,0.509378,0.513061,2023-04-03 13:00:00,1597227323.4443796
42,0.509378,0.513934,0.509378,0.513061,2023-04-03 13:00:00,1596830832.990896
42,0.509378,0.513934,0.509378,0.513061,2023-04-03 13:00:00,1597755173.4016309
42,0.509378,0.513934,0.509378,0.513061,2023-04-03 13:00:00,1599175307.5841682
43,0.513635,0.513635,0.512232,0.512232,2023-04-03 13:30:00,1600255415.8823571
43,0.513635,0.513635,0.512232,0.512232,2023-04-03 13:30:00,1601329436.3077364
43,0.513635,0.513635,0.512232,0.512232,2023-04-03 13:30:00,1603489572.8960483
43,0.513635,0.513635,0.512232,0.512232,2023-04-03 13:30:00,1599150612.5605943
43,0.513635,0.513635,0.512232,0.512232,2023-04-03 13:30:00,1592898762.7729008
43,0.513635,0.513635,0.512232,0.512232,2023-04-03 13:30:00,1590597649.0340507
44,0.512462,0.513407,0.511289,0.511289,2023-04-03 14:00:00,1590088207.512868
44,0.512462,0.513407,0.511289,0.511289,2023-04-03 14:00:00,1588793269.516775
44,0.512462,0.513407,0.511289,0.511289,2023-04-03 14:00:00,1587335152.127467
44,0.512462,0.513407,0.511289,0.511289,2023-04-03 14:00:00,1588457018.8873773
44,0.512462,0.513407,0.511289,0.511289,2023-04-03 14:00:00,1610473219.610466
44,0.512462,0.513407,0.511289,0.511289,2023-04-03 14:00:00,1636197382.1932557
45,0.510592,0.510592,0.49616,0.49616,2023-04-03 14:30:00,1638117448.7797012
45,0.510592,0.510592,0.49616,0.49616,2023-04-03 14:30:00,1661412391.0659132
45,0.510592,0.510592,0.49616,0.49616,2023-04-03 14:30:00,1704182772.2431386
45,0.510592,0.510592,0.49616,0.49616,2023-04-03 14:30:00,1685599888.0149417
45,0.510592,0.510592,0.49616,0.49616,2023-04-03 14:30:00,1716713337.5315425
45,0.510592,0.510592,0.49616,0.49616,2023-04-03 14:30:00,1722317055.329933
45,0.510592,0.510592,0.49616,0.49616,2023-04-03 14:30:00,1732084597.865081
46,0.493649,0.495986,0.49224,0.493864,2023-04-03 15:00:00,1744054627.8574026
46,0.493649,0.495986,0.49224,0.493864,2023-04-03 15:00:00,1768943129.839522
46,0.493649,0.495986,0.49224,0.493864,2023-04-03 15:00:00,1780314201.318137
46,0.493649,0.495986,0.49224,0.493864,2023-04-03 15:00:00,1783199856.5969968
46,0.493649,0.495986,0.49224,0.493864,2023-04-03 15:00:00,1812602459.0060883
47,0.489017,0.494568,0.489017,0.494568,2023-04-03 15:30:00,1814565775.8237529
47,0.489017,0.494568,0.489017,0.494568,2023-04-03 15:30:00,1817031412.340129
47,0.489017,0.494568,0.489017,0.494568,2023-04-03 15:30:00,1824885984.7494392
47,0.489017,0.494568,0.489017,0.494568,2023-04-03 15:30:00,1825667406.4478643
